table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default,character_maximum_length,numeric_precision,numeric_scale
admin_audit_log,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null
admin_audit_log,2,admin_id,uuid,uuid,NO,null,null,null,null
admin_audit_log,3,action,text,text,NO,null,null,null,null
admin_audit_log,4,target_type,text,text,NO,null,null,null,null
admin_audit_log,5,target_id,uuid,uuid,YES,null,null,null,null
admin_audit_log,6,notes,text,text,YES,null,null,null,null
admin_audit_log,7,created_at,timestamp with time zone,timestamptz,NO,now(),null,null,null
agency_invitations,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null
agency_invitations,2,agency_id,uuid,uuid,NO,null,null,null,null
agency_invitations,3,invited_email,text,text,NO,null,null,null,null
agency_invitations,4,invited_user_id,uuid,uuid,YES,null,null,null,null
agency_invitations,5,invited_by_id,uuid,uuid,NO,null,null,null,null
agency_invitations,6,member_role,USER-DEFINED,agency_member_role,NO,'member'::agency_member_role,null,null,null
agency_invitations,7,status,USER-DEFINED,agency_invitation_status,NO,'pending'::agency_invitation_status,null,null,null
agency_invitations,8,invitation_message,text,text,YES,null,null,null,null
agency_invitations,9,created_at,timestamp with time zone,timestamptz,NO,now(),null,null,null
agency_invitations,10,responded_at,timestamp with time zone,timestamptz,YES,null,null,null,null
agency_invitations,11,expires_at,timestamp with time zone,timestamptz,NO,(now() + '14 days'::interval),null,null,null
agency_members,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null
agency_members,2,agency_id,uuid,uuid,NO,null,null,null,null
agency_members,3,professional_id,uuid,uuid,NO,null,null,null,null
agency_members,4,member_role,USER-DEFINED,agency_member_role,NO,'member'::agency_member_role,null,null,null
agency_members,5,joined_at,timestamp with time zone,timestamptz,NO,now(),null,null,null
applications,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null
applications,2,listing_id,uuid,uuid,NO,null,null,null,null
applications,3,applicant_id,uuid,uuid,NO,null,null,null,null
applications,4,cover_message,text,text,NO,null,null,null,null
applications,5,proposed_amount,numeric,numeric,YES,null,null,10,2
applications,6,currency,text,text,NO,'TRY'::text,null,null,null
applications,7,status,USER-DEFINED,application_status,NO,'pending'::application_status,null,null,null
applications,8,created_at,timestamp with time zone,timestamptz,NO,now(),null,null,null
applications,9,updated_at,timestamp with time zone,timestamptz,NO,now(),null,null,null
applications,10,responded_at,timestamp with time zone,timestamptz,YES,null,null,null,null
applications,11,attachment_path,text,text,YES,null,null,null,null
applications,12,attachment_type,text,text,YES,null,null,null,null
applications,13,attachment_name,text,text,YES,null,null,null,null
availability_blocks,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null
availability_blocks,2,profile_id,uuid,uuid,NO,null,null,null,null
availability_blocks,3,blocked_date,date,date,NO,null,null,null,null
availability_blocks,4,note,text,text,YES,null,null,null,null
availability_blocks,5,created_at,timestamp with time zone,timestamptz,YES,now(),null,null,null
blog_posts,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null
blog_posts,2,slug,text,text,NO,null,null,null,null
blog_posts,3,title,text,text,NO,null,null,null,null
blog_posts,4,excerpt,text,text,YES,null,null,null,null
blog_posts,5,content,text,text,NO,''::text,null,null,null
blog_posts,6,cover_image_url,text,text,YES,null,null,null,null
blog_posts,7,author_id,uuid,uuid,YES,null,null,null,null
blog_posts,8,status,text,text,NO,'draft'::text,null,null,null
blog_posts,9,published_at,timestamp with time zone,timestamptz,YES,null,null,null,null
blog_posts,10,created_at,timestamp with time zone,timestamptz,NO,now(),null,null,null
blog_posts,11,updated_at,timestamp with time zone,timestamptz,NO,now(),null,null,null
bookings,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null
bookings,2,quote_id,uuid,uuid,NO,null,null,null,null
bookings,3,conversation_id,uuid,uuid,NO,null,null,null,null
bookings,4,customer_id,uuid,uuid,NO,null,null,null,null
bookings,5,professional_id,uuid,uuid,NO,null,null,null,null
bookings,6,event_date,date,date,YES,null,null,null,null
bookings,7,event_type,text,text,YES,null,null,null,null
bookings,8,location,text,text,YES,null,null,null,null
bookings,9,guest_count,integer,int4,YES,null,null,32,0
bookings,10,total_amount,numeric,numeric,NO,null,null,10,2
bookings,11,platform_fee,numeric,numeric,NO,0,null,10,2
bookings,12,currency,text,text,NO,'TRY'::text,null,null,null
bookings,13,status,USER-DEFINED,booking_status,NO,'confirmed'::booking_status,null,null,null
bookings,14,created_at,timestamp with time zone,timestamptz,NO,now(),null,null,null
bookings,15,cancelled_at,timestamp with time zone,timestamptz,YES,null,null,null,null
bookings,16,completed_at,timestamp with time zone,timestamptz,YES,null,null,null,null
bookings,17,cancellation_reason,text,text,YES,null,null,null,null
bookings,18,cancelled_by,uuid,uuid,YES,null,null,null,null
bookings,19,start_time,time without time zone,time,YES,null,null,null,null
bookings,20,end_time,time without time zone,time,YES,null,null,null,null
business_invitations,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null
business_invitations,2,business_id,uuid,uuid,NO,null,null,null,null
business_invitations,3,invited_email,text,text,NO,null,null,null,null
business_invitations,4,invited_user_id,uuid,uuid,YES,null,null,null,null
business_invitations,5,invited_by_id,uuid,uuid,NO,null,null,null,null
business_invitations,6,member_role,USER-DEFINED,business_member_role,NO,'member'::business_member_role,null,null,null
business_invitations,7,status,USER-DEFINED,business_invitation_status,NO,'pending'::business_invitation_status,null,null,null
business_invitations,8,invitation_message,text,text,YES,null,null,null,null
business_invitations,9,created_at,timestamp with time zone,timestamptz,NO,now(),null,null,null
business_invitations,10,responded_at,timestamp with time zone,timestamptz,YES,null,null,null,null
business_invitations,11,expires_at,timestamp with time zone,timestamptz,NO,(now() + '14 days'::interval),null,null,null
business_members,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null
business_members,2,business_id,uuid,uuid,NO,null,null,null,null
business_members,3,member_user_id,uuid,uuid,NO,null,null,null,null
business_members,4,member_role,USER-DEFINED,business_member_role,NO,'member'::business_member_role,null,null,null
business_members,5,joined_at,timestamp with time zone,timestamptz,NO,now(),null,null,null
category_requests,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null
category_requests,2,user_id,uuid,uuid,YES,null,null,null,null
category_requests,3,category_name,text,text,NO,null,null,null,null
category_requests,4,description,text,text,YES,null,null,null,null
category_requests,5,event_context,text,text,YES,null,null,null,null
category_requests,6,status,text,text,NO,'pending'::text,null,null,null
category_requests,7,created_at,timestamp with time zone,timestamptz,NO,now(),null,null,null
category_requests,8,reviewed_at,timestamp with time zone,timestamptz,YES,null,null,null,null
category_requests,9,reviewed_by,uuid,uuid,YES,null,null,null,null
conversation_assignees,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null
conversation_assignees,2,conversation_id,uuid,uuid,NO,null,null,null,null
conversation_assignees,3,professional_id,uuid,uuid,NO,null,null,null,null
conversation_assignees,4,assigned_at,timestamp with time zone,timestamptz,NO,now(),null,null,null
conversation_assignees,5,assigned_by,uuid,uuid,YES,null,null,null,null
conversations,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null
conversations,2,customer_id,uuid,uuid,NO,null,null,null,null
conversations,3,professional_id,uuid,uuid,NO,null,null,null,null
conversations,4,event_date,date,date,YES,null,null,null,null
conversations,5,event_type,text,text,YES,null,null,null,null
conversations,6,last_message_at,timestamp with time zone,timestamptz,YES,now(),null,null,null
conversations,7,created_at,timestamp with time zone,timestamptz,YES,now(),null,null,null
conversations,8,location,text,text,YES,null,null,null,null
conversations,9,guest_count,integer,int4,YES,null,null,32,0
